"publisher";"date";"impressions";"pageviews";"likes";"followers";"comments";"in_app_pageviews";"shares";"register_followers"
"Alternet";"2025-11-26";1427544;216508;8439;221;4450;212999;2015;0
"Stocktwits";"2025-11-26";40157;2714;79;1;32;2641;17;0
"On3.com";"2025-11-26";818662;55757;709;70;179;53701;266;0
"East Idaho News";"2025-11-26";91502;3106;106;15;10;3050;24;0
"Nordot Test";"2025-11-26";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-26";1;0;0;0;0;0;0;0
"DPA";"2025-11-26";100954;10229;2188;25;206;10017;92;0
"Raw Story";"2025-11-26";2883434;481203;11770;180;5948;473053;3583;0
"Fangoria";"2025-11-26";5872;108;4;1;0;128;0;0
"TAG24";"2025-11-27";367413;38395;2598;105;437;38077;186;0
"Bloody Elbow";"2025-11-27";304864;23951;177;47;75;23964;30;0
"Cointelegraph";"2025-11-27";32235;758;30;4;4;871;10;0
"France24";"2025-11-27";234882;2038;266;6;37;2152;25;0
"NBA Analysis Network";"2025-11-27";167740;17915;122;30;33;17851;43;0
"NFL Analysis Network";"2025-11-27";1539;102;2;1;0;104;1;0
"Alternet";"2025-11-27";1407382;227352;8409;274;4837;223323;2421;0
"Stocktwits";"2025-11-27";369483;17437;228;21;96;17387;126;0
"On3.com";"2025-11-27";694782;40194;611;33;123;38729;180;0
"East Idaho News";"2025-11-27";135882;4517;128;18;74;4356;35;0
"Nordot Test";"2025-11-27";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-27";0;0;0;0;0;0;0;0
"DPA";"2025-11-27";142324;14952;1436;35;341;14822;82;0
"Raw Story";"2025-11-27";2370235;333552;9292;231;5472;327296;2257;0
"Fangoria";"2025-11-27";2493;38;1;0;2;37;0;0
"HITC";"2025-11-28";59534;11394;87;30;113;11439;14;0
"TAG24";"2025-11-28";412864;43001;2388;152;968;42551;498;0
"Bloody Elbow";"2025-11-28";1147474;30880;259;60;21;37756;88;0
"Cointelegraph";"2025-11-28";90882;1939;31;7;3;3822;12;0
"France24";"2025-11-28";234642;6130;352;10;63;6228;63;0
"NBA Analysis Network";"2025-11-28";407201;26329;154;44;35;25797;82;0
"NFL Analysis Network";"2025-11-28";1227;83;7;0;0;80;0;0
"Alternet";"2025-11-28";1831597;206234;11402;255;5196;202288;3336;0
"Stocktwits";"2025-11-28";115745;6353;178;18;104;6176;66;0
"On3.com";"2025-11-28";1017029;42888;553;47;106;41232;184;0
"East Idaho News";"2025-11-28";110629;7126;126;25;127;6544;68;0
"Nordot Test";"2025-11-28";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-28";0;0;0;0;0;0;0;0
"DPA";"2025-11-28";183194;13907;1585;36;315;13716;98;0
"Raw Story";"2025-11-28";5391456;685069;17063;309;13553;678904;7576;0
"Fangoria";"2025-11-28";651;19;1;0;0;23;0;0
"HITC";"2025-11-29";163543;26298;232;70;316;26370;100;0
"TAG24";"2025-11-29";648896;93326;4414;237;2390;91923;801;0
"Bloody Elbow";"2025-11-29";124302;12204;105;29;36;12155;17;0
"Cointelegraph";"2025-11-29";6886;233;15;1;1;256;2;0
"France24";"2025-11-29";549580;6381;555;10;139;8133;59;0
"NBA Analysis Network";"2025-11-29";270132;39237;183;75;117;38696;63;0
"NFL Analysis Network";"2025-11-29";531;33;5;1;1;30;0;0
"Alternet";"2025-11-29";1982379;281169;11482;363;6634;272697;4459;0
"Stocktwits";"2025-11-29";26284;1772;123;7;53;1704;11;0
"On3.com";"2025-11-29";1555543;97183;825;107;352;97948;353;0
"East Idaho News";"2025-11-29";109121;5610;122;38;31;5423;40;0
"Nordot Test";"2025-11-29";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-29";0;0;0;0;0;0;0;0
"DPA";"2025-11-29";204353;15064;1573;57;401;14877;105;0
"Raw Story";"2025-11-29";6315334;729629;16772;465;12697;717980;6902;0
"Fangoria";"2025-11-29";567;17;1;0;0;17;1;0
"HITC";"2025-11-30";127759;17448;139;51;198;17390;49;0
"TAG24";"2025-11-30";878077;137407;3543;299;2855;134918;1150;0
"Bloody Elbow";"2025-11-30";190384;16217;169;45;46;16193;22;0
"Cointelegraph";"2025-11-30";4211;123;9;1;1;127;0;0
"France24";"2025-11-30";277888;6252;436;10;104;6069;53;0
"NBA Analysis Network";"2025-11-30";184526;21968;148;47;93;21861;38;0
"NFL Analysis Network";"2025-11-30";990;27;9;0;1;27;0;0
"Alternet";"2025-11-30";1730665;154128;6442;215;3087;152299;1832;0
"Stocktwits";"2025-11-30";7812;346;30;0;3;329;8;0
"On3.com";"2025-11-30";1848901;112899;959;115;410;109231;587;0
"East Idaho News";"2025-11-30";155885;7991;127;30;17;7723;72;0
"Nordot Test";"2025-11-30";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-30";0;0;0;0;0;0;0;0
"DPA";"2025-11-30";107495;6310;1058;20;266;6232;61;0
"Raw Story";"2025-11-30";2849165;494801;11787;226;7945;485964;4245;0
"Fangoria";"2025-11-30";438;8;0;1;0;8;0;0
"HITC";"2025-12-01";78918;8648;69;26;130;8598;25;0
"TAG24";"2025-12-01";1277554;165231;3212;332;2227;162951;1505;0
"Bloody Elbow";"2025-12-01";95674;8950;126;33;36;8882;23;0
"Cointelegraph";"2025-12-01";19851;721;258;3;28;712;15;0
"France24";"2025-12-01";98399;2148;537;9;97;2145;27;0
"NBA Analysis Network";"2025-12-01";102468;11964;88;24;45;11893;32;0
"NFL Analysis Network";"2025-12-01";1610;74;5;1;1;72;0;0
"Alternet";"2025-12-01";2634121;263761;9569;303;4791;261809;4231;0
"Stocktwits";"2025-12-01";78743;4572;234;12;28;4536;69;0
"On3.com";"2025-12-01";1037960;83211;771;71;328;80064;394;0
"East Idaho News";"2025-12-01";201848;10448;112;23;34;10104;65;0
"Nordot Test";"2025-12-01";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-01";0;0;0;0;0;0;0;0
"DPA";"2025-12-01";48741;2651;480;8;86;2584;39;0
"Raw Story";"2025-12-01";2009151;343428;10160;127;6301;336659;2655;0
"Fangoria";"2025-12-01";3897;68;5;0;0;69;2;0
"HITC";"2025-12-02";46349;3554;59;21;14;3503;29;0
"TAG24";"2025-12-02";753744;92768;1999;170;1272;91323;680;0
"Bloody Elbow";"2025-12-02";118350;8963;121;21;48;8871;26;0
"Cointelegraph";"2025-12-02";28311;1754;223;10;28;1929;31;0
"France24";"2025-12-02";119054;2295;347;7;57;2381;28;0
"NBA Analysis Network";"2025-12-02";75899;8866;60;23;19;8896;18;0
"NFL Analysis Network";"2025-12-02";1072;102;6;0;0;101;0;0
"Alternet";"2025-12-02";1829103;273988;8355;308;3864;268270;2940;0
"Stocktwits";"2025-12-02";68117;7910;415;5;64;7820;115;0
"On3.com";"2025-12-02";995667;84590;844;77;349;82210;418;0
"East Idaho News";"2025-12-02";95936;6378;148;21;28;5950;69;0
"Nordot Test";"2025-12-02";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-02";0;0;0;0;0;0;0;0
"DPA";"2025-12-02";53193;4964;1063;4;142;4889;48;0
"Raw Story";"2025-12-02";2097528;415228;13656;167;5325;410065;4550;0
"Fangoria";"2025-12-02";51356;782;20;2;0;897;7;0
"HITC";"2025-12-03";28973;2305;28;13;8;2264;9;0
"TAG24";"2025-12-03";473758;60803;2101;103;947;60402;432;0
"Bloody Elbow";"2025-12-03";414362;21150;199;44;34;20914;48;0
"Cointelegraph";"2025-12-03";21691;1182;109;6;24;1280;29;0
"France24";"2025-12-03";1260865;3461;241;7;32;4574;35;0
"NBA Analysis Network";"2025-12-03";103727;9645;60;12;48;9586;59;0
"NFL Analysis Network";"2025-12-03";2649;343;4;0;0;344;1;0
"Alternet";"2025-12-03";1666393;163496;7665;184;3314;160940;2324;0
"Stocktwits";"2025-12-03";126281;16546;655;16;172;16440;132;0
"On3.com";"2025-12-03";1190469;92941;1281;88;578;90838;531;0
"East Idaho News";"2025-12-03";96439;4549;157;25;46;4326;36;0
"Nordot Test";"2025-12-03";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-03";0;0;0;0;0;0;0;0
"DPA";"2025-12-03";60413;4142;1543;10;166;4069;41;0
"Raw Story";"2025-12-03";2185417;439471;15399;148;5831;434212;4227;0
"Fangoria";"2025-12-03";26515;260;6;1;0;283;1;0
"HITC";"2025-12-04";34133;2490;43;12;2;2495;10;0
"TAG24";"2025-12-04";346129;37934;1556;71;561;37708;221;0
"Bloody Elbow";"2025-12-04";114207;11257;143;33;47;11269;31;0
"Cointelegraph";"2025-12-04";11928;456;33;1;5;480;7;0
"France24";"2025-12-04";97887;2736;327;9;60;2706;23;0
"NBA Analysis Network";"2025-12-04";125686;12844;76;18;46;12763;33;0
"NFL Analysis Network";"2025-12-04";1184;74;2;0;0;71;3;0
"Alternet";"2025-12-04";1200585;187443;8019;224;3735;183644;2788;0
"Stocktwits";"2025-12-04";129649;12173;555;13;225;12087;114;0
"On3.com";"2025-12-04";1136178;93076;1142;74;284;91179;403;0
"East Idaho News";"2025-12-04";70049;4581;100;24;29;4249;63;0
"Nordot Test";"2025-12-04";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-04";0;0;0;0;0;0;0;0
"DPA";"2025-12-04";84018;5446;1242;17;118;5340;62;0
"Raw Story";"2025-12-04";4510812;498002;14417;273;6816;492158;3942;0
"Fangoria";"2025-12-04";24026;185;2;1;0;256;0;0
"HITC";"2025-12-05";72888;7286;65;26;22;7301;17;0
"TAG24";"2025-12-05";312354;31491;1114;64;323;31220;188;0
"Bloody Elbow";"2025-12-05";119397;9788;114;31;23;9694;32;0
"Cointelegraph";"2025-12-05";113696;3789;51;6;7;5244;17;0
"France24";"2025-12-05";247028;7083;391;19;508;7233;94;0
"NBA Analysis Network";"2025-12-05";142381;18660;87;29;90;18628;37;0
"NFL Analysis Network";"2025-12-05";1048;44;1;0;0;44;0;0
"Alternet";"2025-12-05";716175;74048;5364;91;2046;71961;1461;0
"Stocktwits";"2025-12-05";92417;5922;172;8;86;5858;57;0
"On3.com";"2025-12-05";1129251;96903;999;64;316;94813;420;0
"East Idaho News";"2025-12-05";98978;5928;110;21;34;5627;65;0
"Nordot Test";"2025-12-05";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-05";0;0;0;0;0;0;0;0
"DPA";"2025-12-05";64281;3617;832;4;112;3541;47;0
"Raw Story";"2025-12-05";2317102;419597;14016;164;6139;415340;3537;0
"Fangoria";"2025-12-05";5871;66;3;0;0;67;0;0
"HITC";"2025-12-06";67611;6363;91;28;23;6292;21;0
"TAG24";"2025-12-06";355486;35032;1249;93;471;34815;326;0
"Bloody Elbow";"2025-12-06";162769;12846;144;38;35;12914;22;0
"Cointelegraph";"2025-12-06";11483;448;14;1;0;448;4;0
"France24";"2025-12-06";179717;4962;462;11;132;5344;22;0
"NBA Analysis Network";"2025-12-06";127119;15424;143;40;82;15556;35;0
"NFL Analysis Network";"2025-12-06";240;12;1;0;0;12;0;0
"Alternet";"2025-12-06";419747;51808;3277;81;1390;51151;730;0
"Stocktwits";"2025-12-06";40965;3352;176;4;22;3299;47;0
"On3.com";"2025-12-06";1148650;89160;930;96;336;87087;464;0
"East Idaho News";"2025-12-06";74171;3237;67;18;12;3078;14;0
"Nordot Test";"2025-12-06";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-06";0;0;0;0;0;0;0;0
"DPA";"2025-12-06";48649;2443;990;8;112;2395;48;0
"Raw Story";"2025-12-06";2871289;545468;11593;147;6710;528753;3364;0
"Fangoria";"2025-12-06";615;11;1;1;0;14;0;0
"HITC";"2025-12-07";72391;6234;72;25;28;6222;27;0
"TAG24";"2025-12-07";379151;39198;2550;92;521;39044;344;0
"Bloody Elbow";"2025-12-07";367479;29658;194;50;133;29783;46;0
"Cointelegraph";"2025-12-07";3905;199;22;3;3;202;3;0
"France24";"2025-12-07";375062;8615;341;16;298;8495;32;0
"NBA Analysis Network";"2025-12-07";62148;5966;59;19;28;5969;13;0
"NFL Analysis Network";"2025-12-07";161;11;0;0;0;12;0;0
"Alternet";"2025-12-07";288876;55507;2237;49;1945;54585;809;0
"Stocktwits";"2025-12-07";11389;934;43;1;9;905;19;0
"On3.com";"2025-12-07";1952345;144116;1106;108;999;143462;742;0
"East Idaho News";"2025-12-07";329417;15188;238;34;113;14654;103;0
"Nordot Test";"2025-12-07";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-07";0;0;0;0;0;0;0;0
"DPA";"2025-12-07";80333;6307;512;21;96;6258;55;0
"Raw Story";"2025-12-07";1612266;313479;8790;57;4404;298022;2136;0
"Fangoria";"2025-12-07";2034;9;0;0;0;7;0;0
"HITC";"2025-12-08";70105;7251;93;30;24;7225;14;0
"TAG24";"2025-12-08";284882;25275;2122;82;639;24993;179;0
"Bloody Elbow";"2025-12-08";380859;32754;263;76;761;32990;114;0
"Cointelegraph";"2025-12-08";5609;245;22;0;0;210;6;0
"France24";"2025-12-08";100595;4071;216;9;144;3778;23;0
"NBA Analysis Network";"2025-12-08";24413;2017;24;4;16;1974;5;0
"NFL Analysis Network";"2025-12-08";342;17;2;0;0;13;0;0
"Alternet";"2025-12-08";261974;46460;1676;40;1078;45992;775;0
"On3.com";"2025-12-08";1241404;100958;936;100;676;97675;402;0
"East Idaho News";"2025-12-08";110714;4975;106;15;37;4646;28;0
"Nordot Test";"2025-12-08";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-12-08";0;0;0;0;0;0;0;0
"DPA";"2025-12-08";123385;9013;1739;23;633;8782;119;0
"Raw Story";"2025-12-08";2202855;362718;9579;142;5255;358461;2536;0
"Fangoria";"2025-12-08";55260;503;6;1;0;518;2;0
